Country,National guidelines recommend ART for All people living with HIV with active TB,National guidelines recommend ART for All people living with HIV with hepatitis B and severe liver disease,National guidelines recommend ART for The HIV-positive partner in serodiscordant couples,National guidelines recommend ART for All people living with HIV identified as being in key populations,Nurse-initiated ART allowed for Non-pregnant adults,Nurse-initiated ART allowed for Pregnant women,Nurse-initiated ART allowed for Adolescents (10-19 years old),Nurse-initiated ART allowed for Children younger than 10 years old,Nurse-initiated ART allowed for None of the above,ART provided in TB clinics,ART providers provide TB treatment in ART settings,MNCH services providers provide ART in MNCH clinics,"Nutrition assessment, counselling and support to malnourished people living with HIV",ART in settings providing OST,ART provided in primary health care settings,Patient support,ART delivered in the community,Cardiovascular disease screening/management by ART providers,Mental health screening/treatment by ART providers,Country has a national policy/ strategy on linking HIV testing and counselling and enrolment in care,Country adapted 2016 WHO consolidated guidelines recommendations: adult antiretroviral therapy,Country adapted 2016 WHO consolidated guidelines recommendations: PMTCT,Country adapted 2016 WHO consolidated guidelines recommendations: pediatric antiretroviral therapy,Country adapted 2016 WHO consolidated guidelines recommendations: operational/service delivery,Recommended ART CD4 initiation threshold in adults and adolescents,Implementation status of recommended ART CD4 initiation threshold,Planned adoption of treat all recommendation (countries where not already adopted),Planned year for adoption of treat all recommendation (countries where not already adopted),Point-of-care CD4 technology used,Percentage of primary healthcare facilitates with access to CD4 cell count testing (nearby or referral),Policy promoting community ART delivery,ART provided in community settings for people stable on ART,Implementation of ART provision in community settings for people stable on ART,Policy on prioritization of people with advanced HIV disease,Policy on frequency of clinic visits for people stable on ART,Frequency of clinic visits for people stable on ART in policy,Policy on frequency of ART pick-up for people stable on ART,Frequency of ART pick-up for people stable on ART in policy,Country has a national plan for eliminating HIV MTCT,Recommended PMTCT regimen,Recommended first-line ART regimen for pregnant and breastfeeding women living with HIV,Health facilities delivering integrated services: HIV counselling and testing with SRH,Health facilities delivering integrated services: HIV treatment and care with SRH,Health facilities delivering integrated services: HIV counselling and testing with TB services,Health facilities delivering integrated services: TB screening in HIV services,Health facilities delivering integrated services: ART and TB treatment,Health facilities delivering integrated services: HIV and hepatitis C treatment,Health facilities delivering integrated services: HIV counselling and testing and chronic NCDs,Health facilities delivering integrated services: ART and chronic NCDs,Health facilities delivering integrated services: HIV counselling and testing and general outpatient care,Health facilities delivering integrated services: ART and general outpatient care,Health facilities delivering integrated services: Violence screening and mitigation with HIV services,Health facilities delivering integrated services: HIV testing and counselling with cervical cancer screening and treatment,Health facilities delivering integrated services: Cervical cancer screening with HIV services,Health facilities delivering integrated services: PMTCT with antenatal care / maternal and child health,Health facilities delivering integrated services: HIV treatment and care with nutrition support,Health facilities delivering integrated services: HIV testing with child health services,Health facilities delivering integrated services: HIV treatment and care with child health services,Health facilities delivering integrated services: HIV and harm reduction services,Country adapted 2018 WHO consolidated guidelines on ARV use for treating and preventing HIV infection,Country adopted WHO 2017 recommendation on rapid initiation on ART,Possible to start ART on the same day as HIV diagnosis,Country adopted WHO 2017 recommendation to offer interventions for advanced HIV disease,Implementation status of recommended interventions for advanced HIV disease,Implementation status of same day start of ART,Availability of CD4 testing for immunological staging,Percentage of clients with access to CD4 testing for immunological staging
Georgia,Yes ,Yes ,Yes ,Yes ,,,,,Yes ,Yes ,,,,,,Yes ,,Yes ,Yes ,Yes ,"Yes, completed ","Yes, completed ","Yes, completed ",On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,Yes ,100 ,No ,No ,,Yes ,Yes ,Every 6 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,"Yes, completed ",Other ,Yes ,"Yes, fully adopted ",Implemented countrywide  ,Other ,Yes ,Countrywide  
Germany,Yes ,Yes ,,Yes ,,,,,Yes ,,Yes ,,,,Yes ,Yes ,,Yes ,,Yes ,"Yes, completed ","Yes, completed ","Yes, completed ",Other ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,No ,100 ,No ,No ,,No ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,Other ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,,,Fully integrated in all health facilities ,Integrated in some health facilities ,,,,,,,,
Ghana,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,"Yes, completed ","Yes, completed ","Yes, completed ","Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,No ,0 ,Yes ,Yes ,Nationally ,No ,Yes ,Every 6 months ,Yes ,Every 6 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented countrywide  ,Implemented countrywide  ,No ,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,,,,,,,,,,,,Treat all pregnant women and/or breastfeeding women for life ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,No threshold; treat all regardless of CD4 count ,Not implemented in practice ,Yes ,No planned year ,,,,,,,,,,,,Treat all pregnant women and/or breastfeeding women for life ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Yes ,Yes ,Yes ,Yes ,,,,,Yes ,Yes ,Yes ,Yes ,Yes ,,,Yes ,Yes ,Yes ,Yes ,Yes ,On-going ,On-going ,On-going ,On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,Yes ,Recommending treat all in 2019 ,Yes ,94 ,No ,Yes ,,Yes ,Yes ,Every 6 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,Other ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented in few  treatment sites ,Implemented countrywide  ,Yes ,In many  sites 
Guinea,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,,Yes ,On-going ,"Yes, completed ",No ,On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,Yes ,Recommending treat all in 2019 ,No ,0 ,Yes ,Yes ,At pilot sites ,No ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented countrywide  ,Implemented countrywide  ,Yes ,In few  sites 
Guinea-Bissau,,,,,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,,Yes ,Yes ,Yes ,,,,,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,No ,,No ,50 ,No ,No ,,Yes ,Yes ,Every 6 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,On-going ,No ,Yes ,"Yes, partially adopted ",Implemented in few  treatment sites ,,,
Guyana,Yes ,Yes ,Yes ,Yes ,Yes ,,,,Yes ,Yes ,,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,On-going ,On-going ,On-going ,On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,No ,Recommending treat all later in 2017 ,Yes ,100 ,Yes ,No ,,Yes ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,Other ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,,Delivered separately ,Integrated in some health facilities ,Fully integrated in all health facilities ,,,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,,Integrated in some health facilities ,Delivered separately ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, partially adopted ",Implemented in many  treatment sites ,Implemented in few  treatment sites ,Yes ,In many  sites 
Haiti,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,,,Yes ,"Yes, completed ","Yes, completed ","Yes, completed ","Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,Yes ,80 ,Yes ,Yes ,Nationally ,Yes ,Yes ,Every 3 months ,Yes ,Every 6 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",,,,
Honduras,Yes ,,Yes ,,,,,,Yes ,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,,,Yes ,Yes ,On-going ,"Yes, completed ","Yes, completed ","Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,No ,Recommending treat all later in 2017 ,No ,100 ,No ,No ,,No ,No ,,No ,Once a month ,No ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Fully integrated in all health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,On-going ,No ,No ,"Yes, partially adopted ",,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,,,,,,,,,,,,Treat all pregnant women and/or breastfeeding women for life ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Yes ,Yes ,Yes ,Yes ,,,,,Yes ,,Yes ,,Yes ,,,Yes ,,Yes ,,No ,On-going ,"Yes, completed ","Yes, completed ","Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,No ,100 ,No ,No ,,No ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,,,,,,,,
India,Yes ,Yes ,Yes ,,,,,,Yes ,,Yes ,,,Yes ,Yes ,Yes ,Yes ,,,Yes ,"Yes, completed ","Yes, completed ","Yes, completed ","Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,No ,,Yes ,100 ,No ,Yes ,At pilot sites ,Yes ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,No ,"Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, partially adopted ",Implemented countrywide  ,,,
Indonesia,,,,,,,,,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,,,,Yes ,,,,,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,Yes ,Recommending treat all in 2018 ,,,No ,No ,,,Yes ,Once a month ,Yes ,Once a month ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,,,,,,,,,,,,,,,,,,,No ,"Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented in many  treatment sites ,Other ,Yes ,Other 
Iran ,Yes ,Yes ,Yes ,,,,,,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,On-going ,On-going ,On-going ,On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,Yes ,Recommending treat all later in 2017 ,Yes ,90 ,Yes ,Yes ,Other ,Yes ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",No ,"Yes, fully adopted ",Implemented countrywide  ,,Yes ,Countrywide  
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Yes ,Yes ,Yes ,Yes ,,,,,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,,,,Yes ,,Yes ,On-going ,"Yes, completed ","Yes, completed ",On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,No ,95 ,No ,No ,,No ,No ,,No ,,Yes ,Treat all pregnant women and/or breastfeeding women for life ,Other ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,,,,,,,,
Israel,,,,,,,,,Yes ,,,,,,,Yes ,,,,Yes ,,,,,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,No ,,Yes ,,No ,No ,,No ,Yes ,Every 3 months ,Yes ,Once a month ,No ,Treat all pregnant women and/or breastfeeding women for life ,Other ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,On-going ,,No ,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,No threshold; treat all regardless of CD4 count ,Implemented in many  treatment sites ,,,,,,,,,,,,,,Treat all pregnant women and/or breastfeeding women for life ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,Yes ,Yes ,,Yes ,,,,,Yes ,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,"Yes, completed ","Yes, completed ","Yes, completed ","Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,Yes ,100 ,Yes ,No ,,No ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Other ,"Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,,,,,,,,,,,,Treat all pregnant women and/or breastfeeding women for life ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,Yes ,Yes ,Yes ,,,,,,,,,No ,,,,,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,,,No ,No ,,,Yes ,Once a month ,Yes ,Once a month ,No ,Treat all pregnant women and/or breastfeeding women for life ,Other ,,,,,,,,,,,,,,,,,,,On-going ,"Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, partially adopted ",Implemented countrywide  ,Implemented in few  treatment sites ,Yes ,In few  sites 
Kazakhstan,Yes ,Yes ,Yes ,,,,,,Yes ,Yes ,Yes ,Yes ,,Yes ,,,,,,Yes ,On-going ,On-going ,On-going ,"Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,No ,Recommending treat all in 2018 ,Yes ,10000 ,No ,No ,,Yes ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,Other ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented countrywide  ,Implemented in few  treatment sites ,Yes ,Countrywide  
Kenya,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,"Yes, completed ","Yes, completed ","Yes, completed ",On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,Yes ,100 ,Yes ,Yes ,Regionally ,Yes ,Yes ,Every 6 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented countrywide  ,Implemented countrywide  ,Yes ,Countrywide  
Kiribati,,,,,,,,,Yes ,,,,,,,,Yes ,,,Yes ,On-going ,On-going ,On-going ,On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,No ,,No ,No ,,No ,No ,,No ,,No ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Fully integrated in all health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,No ,No ,Yes ,No ,,,,
Kuwait,Yes ,Yes ,Yes ,Yes ,,,,,Yes ,,Yes ,,Yes ,,,Yes ,,Yes ,Yes ,Yes ,Other ,Other ,Other ,No ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,Yes ,100 ,No ,No ,,No ,Yes ,Every 6 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,Other ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,,,,,,,,
Kyrgyzstan,,Yes ,Yes ,,,,,,Yes ,Yes ,Yes ,Yes ,,,Yes ,Yes ,,,,Yes ,On-going ,"Yes, completed ",On-going ,On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,Yes ,Recommending treat all in 2018 ,Yes ,100 ,No ,No ,,Yes ,Yes ,Every 12 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Fully integrated in all health facilities ,Delivered separately ,Fully integrated in all health facilities ,Delivered separately ,Integrated in some health facilities ,On-going ,"Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, partially adopted ",Implemented in few  treatment sites ,Implemented countrywide  ,Yes ,Countrywide  
Lao People's Democratic Republic,Yes ,Yes ,Yes ,Yes ,,,,,Yes ,,,Yes ,Yes ,,,Yes ,,,,Yes ,"Yes, completed ","Yes, completed ",On-going ,On-going ,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,Yes ,64 ,No ,No ,,Yes ,Yes ,Every 3 months ,Yes ,Every 3 months ,No ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/EFV ,Integrated in some health facilities ,Delivered separately ,Fully integrated in all health facilities ,Integrated in some health facilities ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Delivered separately ,Delivered separately ,Delivered separately ,Delivered separately ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,,,,,,,,,
Latvia,Yes ,Yes ,,,,,,,Yes ,,,,,,,,,,,No ,No ,No ,No ,"Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,Yes ,Recommending treat all in 2020 ,Yes ,,No ,No ,,Yes ,Yes ,Once a month ,Yes ,Once a month ,Yes ,HAART during pregnancy and breastfeeding only ,Other ,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,,,,,,,,,,,,Treat all pregnant women and/or breastfeeding women for life ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,Yes ,,Yes ,Yes ,Yes ,,Yes ,Yes ,"Yes, completed ","Yes, completed ","Yes, completed ","Yes, completed ",No threshold; treat all regardless of CD4 count ,Implemented countrywide  ,,,Yes ,100 ,No ,Yes ,Nationally ,No ,Yes ,Every 3 months ,Yes ,Every 3 months ,Yes ,Treat all pregnant women and/or breastfeeding women for life ,TDF/3TC/DTG ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Fully integrated in all health facilities ,Integrated in some health facilities ,Integrated in some health facilities ,"Yes, completed ","Yes, rapid initiation within 7 days of HIV diagnosis ",Yes ,"Yes, fully adopted ",Implemented countrywide  ,Implemented countrywide  ,Yes ,Countrywide  
